+-+-+-+-+-+-+-+-+-+-+-+-+-+-+ GRAFO CARGADO +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99        100        101
1     0         18.682    20.616    16.125    18.111    15.133    19.0    16.0    18.111    20.1    16.763    19.647    38.079    30.806    39.357    36.056    40.311    33.302    35.355    39.051    10.0    10.198    12.166    13.0    15.0    15.133    15.811    17.117    17.72    20.0    20.616    33.541    31.623    33.526    32.388    38.079    35.355    39.294    41.231    40.311    20.616    18.682    19.313    16.553    21.541    22.361    20.591    18.028    23.324    19.209    22.804    25.0    21.213    45.177    40.05    35.057    45.0    35.0    45.044    35.057    45.277    22.361    18.028    14.142    21.541    12.806    16.553    12.207    20.616    15.811    58.523    57.009    23.854    55.714    19.849    15.811    52.202    52.0    50.289    51.078    51.478    47.434    35.355    32.388    31.048    29.732    26.476    25.495    26.926    24.352    20.616    22.361    44.204    43.012    40.608    37.202    36.056    40.311    30.806    33.541    38.079    
2     18.682    0         2.0    3.606    3.0    4.243    5.099    5.385    7.0    7.28    10.198    10.05    26.249    24.042    28.601    27.731    30.232    27.893    30.806    32.311    23.431    21.932    23.345    21.401    26.907    25.612    23.854    27.203    25.554    30.806    28.178    48.104    44.822    46.4    43.566    51.856    46.141    51.313    53.0    50.537    39.294    37.363    37.947    35.114    40.162    40.853    39.0    36.249    41.629    37.121    40.706    42.942    38.588    63.008    58.078    53.085    63.198    53.235    63.388    53.46    63.789    38.328    33.377    28.443    38.118    28.16    33.061    28.071    38.0    33.0    62.801    59.908    38.833    60.44    33.956    3.0    55.803    57.385    54.203    56.639    58.728    51.856    32.696    29.967    26.926    24.352    24.698    23.854    21.541    20.591    19.849    17.0    27.803    26.249    24.413    20.809    19.209    22.672    14.765    15.62    19.723    
3     20.616    2.0    0         5.0    3.606    5.831    5.099    6.403    7.28    7.0    10.77    10.05    25.0    23.537    27.459    26.926    29.155    27.459    30.414    31.623    25.0    23.431    24.759    22.672    28.284    26.907    25.0    28.425    26.627    32.016    29.155    49.497    46.098    47.634    44.654    53.151    47.17    52.431    54.083    51.478    41.231    39.294    39.85    37.0    42.059    42.72    40.853    38.079    43.463    38.91    42.485    44.721    40.311    65.008    60.075    55.082    65.192    55.227    65.376    55.444    65.765    40.311    35.355    30.414    40.112    30.15    35.057    30.067    40.0    35.0    64.031    61.033    40.792    61.717    35.903    5.0    57.009    58.728    55.444    58.0    60.208    53.151    33.541    30.887    27.731    25.08    25.807    25.0    22.361    21.633    21.213    18.028    26.627    25.0    23.324    19.723    18.028    21.213    13.928    14.142    18.028    
4     16.125    3.606    5.0    0         2.0    1.0    3.606    2.0    4.472    5.657    7.0    7.616    25.495    21.932    27.586    26.077    29.069    25.632    28.46    30.414    20.0    18.439    19.799    17.804    23.345    22.023    20.248    23.601    21.954    27.203    24.597    44.553    41.231    42.802    39.962    48.27    42.544    47.707    49.396    46.957    36.674    34.713    35.171    32.28    37.363    37.947    36.056    33.242    38.626    34.015    37.577    39.812    35.355    61.033    56.0    51.0    61.033    51.039    61.131    51.157    61.4    36.878    32.016    27.203    36.497    26.683    31.401    26.476    36.125    31.145    64.07    61.4    37.643    61.612    32.894    3.162    57.14    58.412    55.471    57.628    59.414    53.009    34.785    31.953    29.12    26.683    26.401    25.495    23.77    22.472    21.095    18.974    31.401    29.833    28.018    24.413    22.804    26.173    18.358    19.105    23.022    
5     18.111    3.0    3.606    2.0    0         3.0    2.236    2.828    4.0    4.472    7.28    7.071    24.042    21.19    26.249    25.06    27.803    25.0    27.893    29.547    21.633    20.0    21.26    19.105    24.759    23.345    21.401    24.839    23.022    28.425    25.554    45.967    42.521    44.045    41.049    49.578    43.566    48.826    50.478    47.885    38.639    36.674    37.108    34.205    39.294    39.85    37.947    35.114    40.497    35.847    39.395    41.629    37.121    63.032    58.0    53.0    63.032    53.038    63.127    53.151    63.388    38.833    33.956    29.12    38.471    28.636    33.377    28.443    38.118    33.136    65.215    62.434    39.56    62.801    34.785    4.243    58.249    59.666    56.613    58.898    60.811    54.203    35.468    32.696    29.732    27.203    27.295    26.42    24.352    23.259    22.204    19.698    30.232    28.601    26.926    23.324    21.633    24.759    17.464    17.692    21.401    
6     15.133    4.243    5.831    1.0    3.0    0         4.472    2.236    5.0    6.403    7.071    8.062    26.249    22.361    28.284    26.627    29.732    26.0    28.792    30.887    19.209    17.692    19.105    17.205    22.672    21.401    19.723    23.022    21.471    26.627    24.166    43.863    40.608    42.202    39.446    47.634    42.059    47.17    48.877    46.519    35.693    33.734    34.205    31.321    36.401    37.0    35.114    32.311    37.696    33.106    36.674    38.91    34.482    60.033    55.0    50.0    60.033    50.04    60.133    50.16    60.407    35.903    31.048    26.249    35.511    25.71    30.414    25.495    35.128    30.15    63.514    60.902    36.688    61.033    31.953    3.0    56.604    57.801    54.918    57.009    58.728    52.431    34.482    31.623    28.862    26.476    26.0    25.08    23.537    22.136    20.591    18.682    32.016    30.48    28.601    25.0    23.431    26.907    18.868    19.849    23.854    
7     19.0    5.099    5.099    3.606    2.236    4.472    0         3.0    2.236    2.236    5.831    5.0    21.932    18.974    24.083    22.825    25.612    22.804    25.71    27.313    21.471    19.723    20.809    18.439    24.207    22.672    20.518    24.042    22.023    27.586    24.413    45.343    41.725    43.186    40.0    48.795    42.438    47.802    49.406    46.648    39.319    37.336    37.656    34.713    39.812    40.262    38.328    35.44    40.804    36.056    39.56    41.785    37.162    64.125    59.034    54.037    64.0    54.0    64.031    54.037    64.195    40.262    35.44    30.676    39.812    30.083    34.713    29.833    39.319    34.366    67.424    64.661    41.11    65.0    36.401    6.403    60.465    61.847    58.822    61.074    62.936    56.4    37.696    34.928    31.953    29.411    29.53    28.653    26.571    25.495    24.413    21.932    31.385    29.682    28.178    24.597    22.825    25.612    18.974    18.601    21.932    
8     16.0    5.385    6.403    2.0    2.828    2.236    3.0    0         2.828    4.472    5.0    5.831    24.207    20.125    26.173    24.413    27.586    23.77    26.571    28.653    18.868    17.205    18.439    16.279    21.932    20.518    18.601    22.023    20.248    25.612    22.825    43.139    39.699    41.231    38.275    46.755    40.817    46.043    47.707    45.177    36.346    34.366    34.713    31.78    36.878    37.363    35.44    32.573    37.947    33.242    36.77    39.0    34.438    61.131    56.036    51.039    61.0    51.0    61.033    51.039    61.205    37.363    32.573    27.857    36.878    27.203    31.78    26.926    36.346    31.401    65.734    63.135    38.275    63.246    33.615    5.099    58.83    60.0    57.14    59.203    60.877    54.644    36.688    33.838    31.048    28.636    28.231    27.313    25.71    24.352    22.825    20.881    33.015    31.401    29.682    26.077    24.413    27.586    20.125    20.518    24.207    
9     18.111    7.0    7.28    4.472    4.0    5.0    2.236    2.828    0         2.0    3.606    3.162    21.401    17.464    23.345    21.633    24.759    21.19    24.042    25.942    19.698    17.889    18.868    16.401    22.204    20.616    18.385    21.932    19.849    25.456    22.204    43.278    39.598    41.037    37.802    46.669    40.224    45.607    47.202    44.418    38.118    36.125    36.346    33.377    38.471    38.833    36.878    33.956    39.294    34.482    37.947    40.162    35.468    63.285    58.138    53.151    63.032    53.038    63.0    53.0    63.071    39.85    35.114    30.463    39.294    29.732    34.205    29.411    38.639    33.734    68.505    65.863    40.853    66.03    36.249    7.616    61.587    62.801    59.908    62.008    63.702    57.428    39.217    36.401    33.526    31.048    30.871    29.967    28.16    26.926    25.554    23.409    33.615    31.906    30.414    26.833    25.06    27.803    21.19    20.809    24.042    
10    20.1    7.28    7.0    5.657    4.472    6.403    2.236    4.472    2.0    0         5.0    3.162    19.849    16.763    21.932    20.591    23.431    20.616    23.537    25.08    21.541    19.698    20.591    18.028    23.854    22.204    19.849    23.431    21.213    26.907    23.431    44.822    41.037    42.426    39.051    48.104    41.4    46.861    48.415    45.486    40.112    38.118    38.328    35.355    40.447    40.792    38.833    35.903    41.231    36.401    39.85    42.059    37.336    65.276    60.133    55.145    65.031    55.036    65.0    55.0    65.069    41.761    37.0    32.311    41.231    31.623    36.139    31.321    40.608    35.693    69.635    66.888    42.72    67.201    38.079    8.602    62.682    64.031    61.033    63.253    65.069    58.6    39.925    37.162    34.176    31.623    31.765    30.887    28.792    27.731    26.627    24.166    32.65    30.887    29.547    26.0    24.166    26.627    20.616    19.723    22.672    
